time,q_cmd,q_meas,theta_cmd,theta_meas
0.665,0,0.00230153,0.000322563,0.00230153
0.67,0,0.00230153,0.000299518,0.00230153
0.675,0,0.00230153,0.000276475,0.00230153
0.68,0,0.00230153,0.000253435,0.00230153
0.685,0,0.00230153,0.000230396,0.00230153
0.69,0,0.00230153,0.00020736,0.00230153
0.695,0,0.00230153,0.000184326,0.00230153
0.7,0,0.00230153,0.000161293,0.00230153
0.705,0,0.00230153,0.000138262,0.00230153
0.71,0,0.00230153,0.000115232,0.00230153
0.715,0,0.00230153,9.22029e-05,0.00230153
0.72,0,0.00230153,6.91754e-05,0.00230153
0.725,0,0.00230153,4.61489e-05,0.00230153
0.73,0,0.00230153,2.31234e-05,0.00230153
0.735,0,0.00230153,9.8759e-08,0.00230153
0.74,0,0.00230153,-2.29251e-05,0.00230153
0.745,0,0.00230153,-4.59482e-05,0.00230153
0.75,0,0.00230153,-6.89706e-05,0.00230153
0.755,0,0.00230153,-9.19924e-05,0.00230153
0.76,0,0.00230153,-0.000115014,0.00230153
0.765,0,0.00230153,-0.000138034,0.00230153
0.77,0,0.00230153,-0.000161055,0.00230153
0.775,0,0.00230153,-0.000184075,0.00230153
0.78,0,0.00230153,-0.000207094,0.00230153
0.785,0,0.00230153,-0.000230113,0.00230153
0.79,0,0.00230153,-0.000253132,0.00230153
0.795,0,0.00230153,-0.00027615,0.00230153
0.8,0,0.00230153,-0.000299169,0.00230153
0.805,0,0.00230153,-0.000322187,0.00230153
0.81,0,0.00230153,-0.000345204,0.00230153
0.815,0,0.00230153,-0.000368222,0.00230153
0.82,0,0.00230153,-0.000391239,0.00230153
0.825,0,0.00230153,-0.000414256,0.00230153
0.83,0,0.00230153,-0.000437273,0.00230153
0.835,0,0.00230153,-0.00046029,0.00230153
0.84,0,0.00230153,-0.000483307,0.00230153
0.845,0,0.00230153,-0.000506324,0.00230153
0.85,0,0.00230153,-0.00052934,0.00230153
0.855,0,0.00230153,-0.000552357,0.00230153
0.86,0,0.00230153,-0.000575373,0.00230153
0.865,0,0.00230153,-0.000598389,0.00230153
0.87,0,0.00230153,-0.000621405,0.00230153
0.875,0,0.00230153,-0.000644421,0.00230153
0.88,0,0.00230153,-0.000667437,0.00230153
0.885,0,0.00230153,-0.000690453,0.00230153
0.89,0,0.00230153,-0.000713469,0.00230153
0.895,0,0.00230153,-0.000736485,0.00230153
0.9,0,0.000767178,-5.65652e-06,0.000767178
0.905,0,0.000767178,-4.91835e-05,0.000767178
0.91,0,0.000767178,-8.96223e-05,0.000767178
0.915,0,0.000767178,-0.000127239,0.000767178
0.92,0,0.000767178,-0.000162276,0.000767178
0.925,0,0.000767178,-0.000194957,0.000767178
0.93,0,0.00230153,-0.000979328,0.00230153
0.935,0,0.00230153,-0.000987374,0.00230153
0.94,0,0.00230153,-0.00099671,0.00230153
0.945,0,0.00230153,-0.00100722,0.00230153
0.95,0,0.00230153,-0.00101882,0.00230153
0.955,0,0.00230153,-0.00103139,0.00230153
0.96,0,0.00230153,-0.00104486,0.00230153
0.965,0,0.00230153,-0.00105916,0.00230153
0.97,0,0.00230153,-0.00107421,0.00230153
0.975,0,0.00230153,-0.00108994,0.00230153
0.98,0,0.00230153,-0.0011063,0.00230153
0.985,0,0.00230153,-0.00112323,0.00230153
0.99,0,0.00230153,-0.00114069,0.00230153
0.995,0,0.00230153,-0.00115863,0.00230153
1,0,0.00230153,-0.001177,0.00230153
1.005,0,0.00230153,-0.00119577,0.00230153
1.01,0,0.00230153,-0.00121491,0.00230153
1.015,0,0.00230153,-0.00123439,0.00230153
1.02,0,0.00230153,-0.00125416,0.00230153
1.025,0,0.000767178,-0.000520376,0.000767178
1.03,0,0.000767178,-0.000561199,0.000767178
1.035,0,0.000767178,-0.000599166,0.000767178
1.04,0,0.000767178,-0.000634524,0.000767178
1.045,0,0.000767178,-0.000667498,0.000767178
1.05,0,0.000767178,-0.000698292,0.000767178
1.055,0,0.000767178,-0.000727095,0.000767178
1.06,0,0.000767178,-0.000754077,0.000767178
1.065,0,0.000767178,-0.000779397,0.000767178
1.07,0,0.000767178,-0.000803196,0.000767178
1.075,0,0.000767178,-0.000825607,0.000767178
1.08,0,0.000767178,-0.000846747,0.000767178
1.085,0,0.000767178,-0.000866728,0.000767178
1.09,0,0.000767178,-0.000885649,0.000767178
1.095,0,0.000767178,-0.000903601,0.000767178
1.1,0,0.000767178,-0.000920667,0.000767178
1.105,0,0.000767178,-0.000936924,0.000767178
1.11,0,0.000767178,-0.000952442,0.000767178
1.115,0,0.000767178,-0.000967284,0.000767178
1.12,0,0.000767178,-0.000981508,0.000767178
1.125,0,0.000767178,-0.000995168,0.000767178
1.13,0,0.000767178,-0.00100831,0.000767178
1.135,0,0.000767178,-0.00102099,0.000767178
1.14,0,0.000767178,-0.00103323,0.000767178
1.145,0,0.000767178,-0.00104508,0.000767178
1.15,0,0.000767178,-0.00105656,0.000767178
1.155,0,0.000767178,-0.00106772,0.000767178
1.16,0,0.000767178,-0.00107858,0.000767178
1.165,0,0.000767178,-0.00108917,0.000767178
1.17,0,0.000767178,-0.0010995,0.000767178
1.175,0,0.000767178,-0.00110961,0.000767178
1.18,0,0.000767178,-0.0011195,0.000767178
1.185,0,0.000767178,-0.00112921,0.000767178
1.19,0,0.000767178,-0.00113874,0.000767178
1.195,0,0.000767178,-0.0011481,0.000767178
1.2,0,0.000767178,-0.00115733,0.000767178
1.205,0,0.000767178,-0.00116642,0.000767178
1.21,0,0.000767178,-0.00117538,0.000767178
1.215,0,0.000767178,-0.00118424,0.000767178
1.22,0,0.000767178,-0.00119299,0.000767178
1.225,0,0.000767178,-0.00120165,0.000767178
1.23,0,0.000767178,-0.00121023,0.000767178
1.235,0,0.000767178,-0.00121872,0.000767178
1.24,0,0.000767178,-0.00122715,0.000767178
1.245,0,0.000767178,-0.00123551,0.000767178
1.25,0,0.000767178,-0.00124381,0.000767178
1.255,0,0.000767178,-0.00125206,0.000767178
1.26,0,0.000767178,-0.00126026,0.000767178
1.265,0,0.000767178,-0.00126841,0.000767178
1.27,0,0.000767178,-0.00127652,0.000767178
1.275,0,0.000767178,-0.0012846,0.000767178
1.28,0,0.000767178,-0.00129264,0.000767178
1.285,0,-0.000767178,-0.000546799,-0.000767178
1.29,0,-0.000767178,-0.000575288,-0.000767178
1.295,0,-0.000767178,-0.000600663,-0.000767178
1.3,0,-0.000767178,-0.000623192,-0.000767178
1.305,0,-0.000767178,-0.000643119,-0.000767178
1.31,0,-0.000767178,-0.00066067,-0.000767178
1.315,0,0.000767178,-0.00142989,0.000767178
1.32,0,0.000767178,-0.00142277,0.000767178
1.325,0,0.000767178,-0.00141693,0.000767178
1.33,0,0.000767178,-0.00141225,0.000767178
1.335,0,0.000767178,-0.00140863,0.000767178
1.34,0,0.000767178,-0.00140599,0.000767178
1.345,0,0.000767178,-0.00140423,0.000767178
1.35,0,0.000767178,-0.00140329,0.000767178
1.355,0,0.000767178,-0.00140309,0.000767178
1.36,0,0.000767178,-0.00140356,0.000767178
